Name,Origin
Abies balsamea,Native
Abies concolor,Alien
Abies concolor var. concolor,Alien
Abies firma,Alien
Abies fraseri,Native
Abildgaardia,Native
Abildgaardia ovata,Native
Abronia,Native
Abronia ameliae,Native
Abronia macrocarpa,Native
Abrus,Alien
Abrus precatorius,Alien
Abutilon,mixed
Abutilon abutiloides,Native
Abutilon berlandieri,Native
Abutilon fruticosum,Native
Abutilon grandifolium,Alien
Abutilon hirtum,Alien
Abutilon hulseanum,Native
Abutilon hypoleucum,Native
Abutilon permolle,Native
Abutilon theophrasti,Alien
Abutilon trisulcatum,Native
Abutilon wrightii,Native
Acacia,Alien
Acacia auriculiformis,Alien
Acacia retinodes,Alien
Acacia saligna,Alien
Acaciella,Native
Acaciella hirta,Native
Acalypha,mixed
Acalypha alopecuroidea,Alien
Acalypha arvensis,Alien
Acalypha australis,Alien
Acalypha chamaedrifolia,Native
Acalypha deamii,Native
Acalypha gracilens,Native
Acalypha herzogiana,Alien
Acalypha monococca,Native
Acalypha monostachya,Native
Acalypha ostryifolia,Native
Acalypha phleoides,Native
Acalypha poiretii,Native
Acalypha radians,Native
Acalypha rhomboidea,Native
Acalypha setosa,Alien
Acalypha virginica,Native
Acalypha wilkesiana,Alien
Acanthaceae,mixed
Acanthocereus,Native
Acanthocereus tetragonus,Native
Acanthospermum,Alien
Acanthospermum australe,Alien
Acanthospermum hispidum,Alien
Acanthospermum humile,Alien
Acer,mixed
Acer campestre,Alien
Acer floridanum,Native
Acer ginnala,Alien
Acer grandidentatum,Native
Acer japonicum,Alien
Acer leucoderme,Native
Acer negundo,Native
Acer negundo var. negundo,Native
Acer negundo var. texanum,Native
Acer nigrum,Native
Acer palmatum,Alien
Acer pensylvanicum,Native
Acer pictum,Alien
Acer pictum ssp. mono,Alien
Acer platanoides,Alien
Acer pseudoplatanus,Alien
Acer rubrum,Native
Acer rubrum var. drummondii,Native
Acer rubrum var. rubrum,Native
Acer rubrum var. trilobum,Native
Acer saccharinum,Native
Acer saccharum,Native
Acer saccharum var. saccharum,Native
Acer saccharum var. schneckii,Native
Acer spicatum,Native
Acer tataricum,Alien
Aceraceae,mixed
Achatocarpaceae,Native
Achillea,mixed
Achillea ageratum,Alien
Achillea filipendulina,Alien
Achillea gracilis,Native
Achillea millefolium,Alien
Achillea ptarmica,Alien
Achyranthes,Alien
Achyranthes aspera,Alien
Achyranthes aspera var. aspera,Alien
Achyranthes aspera var. pubescens,Alien
Achyranthes japonica,Alien
Achyranthes japonica var. hachijoensis,Alien
Acicarpha,Alien
Acicarpha tribuloides,Alien
Acisanthera,Uncertain
Acisanthera erecta,Uncertain
Acleisanthes,Native
Acleisanthes anisophylla,Native
Acleisanthes longiflora,Native
Acleisanthes obtusa,Native
Acmella,mixed
Acmella decumbens,Alien
Acmella pilosa,Alien
Acmella pusilla,Alien
Acmella repens,Native
Acmispon,Native
Acmispon americanus,Native
Acmispon helleri,Native
Acoelorraphe,Native
Acoelorraphe wrightii,Native
Aconitum,Native
Aconitum noveboracense,Native
Aconitum reclinatum,Native
Aconitum uncinatum,Native
Acoraceae,mixed
Acorus,mixed
Acorus americanus,Native
Acorus calamus,Alien
Acorus gramineus,Alien
Acourtia,Native
Acourtia runcinata,Native
Acrocomia,Alien
Acrocomia totai,Alien
Acrostichum,Native
Acrostichum aureum,Native
Acrostichum danaeifolium,Native
Actaea,Native
Actaea [pachypoda + racemosa],Native
Actaea [podocarpa + racemosa],Native
Actaea pachypoda,Native
Actaea podocarpa,Native
Actaea racemosa,Native
Actaea rubifolia,Native
Actaea rubra,Native
Actinidia,Alien
Actinidia arguta,Alien
Actinidia chinensis,Alien
Actinidia chinensis var. deliciosa,Alien
Actinidiaceae,Alien
Actinostachys,Native
Actinostachys pennula,Native
Adelia,Native
Adelia vaseyi,Native
Adenanthera,Alien
Adenanthera pavonina,Alien
Adiantum,mixed
Adiantum aleuticum,Native
Adiantum anceps,Alien
Adiantum capillus-veneris,Native
Adiantum caudatum,Alien
Adiantum hispidulum,Alien
Adiantum melanoleucum,Native
Adiantum pedatum,Native
Adiantum tenerum,Native
Adiantum trapeziforme,Alien
Adiantum villosum,Uncertain
Adlumia,Native
Adlumia fungosa,Native
Adonidia,Alien
Adonidia merrillii,Alien
Adonis,Alien
Adonis annua,Alien
Aegilops,Alien
Aegilops cylindrica,Alien
Aegilops neglecta,Alien
Aegilops triuncialis,Alien
Aegilops triuncialis var. triuncialis,Alien
Aegilops ventricosa,Alien
Aegiphila,Alien
Aegiphila elata,Alien
Aegopodium,Alien
Aegopodium podagraria,Alien
Aeschynomene,mixed
Aeschynomene americana,Native
Aeschynomene americana var. americana,Native
Aeschynomene fluitans,Alien
Aeschynomene indica,Native
Aeschynomene pratensis,Native
Aeschynomene pratensis var. pratensis,Native
Aeschynomene rudis,Alien
Aeschynomene virginica,Native
Aesculus,mixed
Aesculus flava,Native
Aesculus glabra,Native
Aesculus glabra var. arguta,Native
Aesculus glabra var. glabra,Native
Aesculus hippocastanum,Alien
Aesculus parviflora,Native
Aesculus pavia,Native
Aesculus pavia var. flavescens,Native
Aesculus pavia var. pavia,Native
Aesculus sylvatica,Native
Aethusa,Alien
Aethusa cynapium,Alien
Agalinis,Native
Agalinis aphylla,Native
Agalinis aspera,Native
Agalinis auriculata,Native
Agalinis caddoensis,Native
Agalinis decemloba,Native
Agalinis densiflora,Native
Agalinis divaricata,Native
Agalinis edwardsiana,Native
Agalinis fasciculata,Native
Agalinis fasciculata var. fasciculata,Native
Agalinis fasciculata var. peninsularis,Native
Agalinis filicaulis,Native
Agalinis filifolia,Native
Agalinis flexicaulis,Native
Agalinis gattingeri,Native
Agalinis georgiana,Native
Agalinis harperi,Native
Agalinis heterophylla,Native
Agalinis homalantha,Native
Agalinis laxa,Native
Agalinis linifolia,Native
Agalinis maritima,Native
Agalinis maritima var. grandiflora,Native
Agalinis maritima var. maritima,Native
Agalinis navasotensis,Native
Agalinis obtusifolia,Native
Agalinis oligophylla,Native
Agalinis paupercula,Native
Agalinis paupercula var. borealis,Native
Agalinis paupercula var. paupercula,Native
Agalinis plukenetii,Native
Agalinis pulchella,Native
Agalinis purpurea,Native
Agalinis setacea,Native
Agalinis skinneriana,Native
Agalinis species 1,Native
Agalinis strictifolia,Native
Agalinis tenella,Native
Agalinis tenuifolia,Native
Agalinis virgata,Native
Agalinis viridis,Native
Agarista,Native
Agarista populifolia,Native
Agastache,mixed
Agastache foeniculum,Alien
Agastache nepetoides,Native
Agastache rugosa,Alien
Agastache scrophulariifolia,Native
Agavaceae,mixed
Agave,mixed
Agave americana,Alien
Agave americana ssp. americana,Alien
Agave americana ssp. protamericana,Alien
Agave angustifolia,Alien
Agave decipiens,Native
Agave desmettiana,Alien
Agave lata,Native
Agave longiflora,Native
Agave lophantha,Native
Agave maculosa,Native
Agave sileri,Native
Agave sisalana,Alien
Agave variegata,Native
Agave virginica,Native
Agave weberi,Uncertain
Agdestis,Alien
Agdestis clematidea,Alien
Ageratina,Native
Ageratina [altissima + aromatica + roanensis],Native
Ageratina [altissima + roanensis],Native
Ageratina altissima,Native
Ageratina aromatica,Native
Ageratina havanensis,Native
Ageratina jucunda,Native
Ageratina luciae-brauniae,Native
Ageratina roanensis,Native
Ageratum,mixed
Ageratum conyzoides,Alien
Ageratum houstonianum,Alien
Ageratum maritimum,Native
Aglaomorpha,Alien
Aglaomorpha quercifolia,Alien
Aglaonema,Alien
Aglaonema commutatum,Alien
Agrimonia,mixed
Agrimonia [microcarpa + pubescens],Native
Agrimonia eupatoria,Alien
Agrimonia gryposepala,Native
Agrimonia incisa,Native
Agrimonia microcarpa,Native
Agrimonia parviflora,Native
Agrimonia pubescens,Native
Agrimonia rostellata,Native
Agrimonia striata,Native
Agropyron,Mixed
Agropyron cristatum,Mixed
Agrostemma,Alien
Agrostemma githago,Alien
Agrostemma githago var. githago,Alien
Agrostis,mixed
Agrostis [altissima + perennans],Native
Agrostis [gigantea + stolonifera],Alien
Agrostis [hyemalis + scabra],Native
Agrostis altissima,Native
Agrostis canina,Alien
Agrostis capillaris,Alien
Agrostis elliottiana,Native
Agrostis exarata,Alien
Agrostis gigantea,Alien
Agrostis hyemalis,Native
Agrostis mertensii,Native
Agrostis perennans,Native
Agrostis scabra,Native
Agrostis stolonifera,Alien
Ailanthus,Alien
Ailanthus altissima,Alien
Aira,Alien
Aira [caryophyllea + elegans],Alien
Aira caryophyllea,Alien
Aira elegans,Alien
Aira praecox,Alien
Aizoaceae,mixed
Aizoon,Alien
Aizoon secundum,Alien
Aizopsis,Alien
Aizopsis aizoon,Alien
Aizopsis ellacombeana,Alien
Aizopsis ellacombeana ssp. ellacombeana,Alien
Ajuga,Alien
Ajuga chamaepitys,Alien
Ajuga genevensis,Alien
Ajuga pyramidalis,Alien
Ajuga reptans,Alien
Akebia,Alien
Akebia quinata,Alien
Albizia,Alien
Albizia julibrissin,Alien
Albizia kalkora,Alien
Albizia lebbeck,Alien
Albizia lebbekoides,Alien
Albizia procera,Alien
Albuca,Alien
Albuca bracteata,Alien
Alcea,Alien
Alcea rosea,Alien
Alcea rugosa,Alien
Alchemilla,Alien
Alchemilla monticola,Alien
Aldrovanda,Alien
Aldrovanda vesiculosa,Alien
Alectryon,Alien
Alectryon coriaceus,Alien
Aletris,Native
Aletris [aurea + farinosa + obovata],Native
Aletris [aurea + farinosa],Native
Aletris aurea,Native
Aletris bracteata,Native
Aletris farinosa,Native
Aletris lutea,Native
Aletris obovata,Native
Aleurites,Alien
Aleurites moluccanus,Alien
Alhagi,Alien
Alhagi maurorum,Alien
Alisma,Native
Alisma gramineum,Native
Alisma subcordatum,Native
Alisma triviale,Native
Alismataceae,mixed
Alkekengi,Alien
Alkekengi officinarum,Alien
Allamanda,Alien
Allamanda cathartica,Alien
Allamanda schottii,Alien
Alliaceae,mixed
Alliaria,Alien
Alliaria petiolata,Alien
Allionia,Native
Allionia choisyi,Native
Allionia incarnata,Native
Allionia incarnata var. incarnata,Native
Allium,mixed
Allium [burdickii + tricoccum],Native
Allium [canadense + mobilense],Native
Allium allegheniense,Native
Allium ampeloprasum,Alien
Allium burdickii,Native
Allium canadense,Native
Allium cepa,Alien
Allium cernuum,Native
Allium cuthbertii,Native
Allium drummondii,Native
Allium elmendorfii,Native
Allium fistulosum,Alien
Allium fraseri,Native
Allium hyacinthoides,Native
Allium keeverae,Native
Allium lavendulare,Native
Allium mobilense,Native
Allium neapolitanum,Alien
Allium nigrum,Alien
Allium oleraceum,Alien
Allium oxyphilum,Native
Allium perdulce,Native
Allium perdulce var. perdulce,Native
Allium porrum,Alien
Allium runyonii,Native
Allium sativum,Alien
Allium schoenoprasum,Alien
Allium schoenoprasum var. schoenoprasum,Alien
Allium species 1,Native
Allium species 3,Native
Allium species 4,Native
Allium speculae,Native
Allium sphaerocephalon,Alien
Allium stellatum,Native
Allium textile,Mixed
Allium tricoccum,Native
Allium tuberosum,Alien
Allium vineale,Alien
Alloberberis,Native
Alloberberis trifoliolata,Native
Alloteropsis,Alien
Alloteropsis cimicina,Alien
Allowissadula,Native
Allowissadula holosericea,Native
Allowissadula lozanoi,Native
Alnus,mixed
Alnus crispa,Native
Alnus glutinosa,Alien
Alnus maritima,Native
Alnus maritima ssp. georgiensis,Native
Alnus maritima ssp. maritima,Native
Alnus maritima ssp. oklahomensis,Native
Alnus rugosa,Native
Alnus serrulata,Native
Alocasia,Alien
Alocasia macrorrhizos,Alien
Alocasia odora,Alien
Aloe,Alien
Aloe vera,Alien
Alopecurus,mixed
Alopecurus aequalis,Native
Alopecurus aequalis var. aequalis,Native
Alopecurus arundinaceus,Alien
Alopecurus bulbosus,Alien
Alopecurus carolinianus,Native
Alopecurus creticus,Alien
Alopecurus geniculatus,Alien
Alopecurus myosuroides,Alien
Alopecurus pratensis,Alien
Alopecurus rendlei,Alien
Alophia,Native
Alophia drummondii,Native
Aloysia,mixed
Aloysia citrodora,Alien
Aloysia gratissima,Native
Aloysia gratissima var. gratissima,Native
Aloysia gratissima var. schulziae,Native
Aloysia macrostachya,Native
Alpinia,Alien
Alpinia zerumbet,Alien
Alstonia,Alien
Alstonia macrophylla,Alien
Alstonia scholaris,Alien
Alstroemeria,Alien
Alstroemeria pulchella,Alien
Alstroemeriaceae,Alien
Alternanthera,mixed
Alternanthera bettzickiana,Alien
Alternanthera brasiliana,Alien
Alternanthera caracasana,Alien
Alternanthera flavescens,Native
Alternanthera maritima,Native
Alternanthera paronychioides,Alien
Alternanthera philoxeroides,Alien
Alternanthera pungens,Alien
Alternanthera sessilis,Alien
Althaea,Alien
Althaea officinalis,Alien
Altingiaceae,Native
Alvaradoa,Native
Alvaradoa psilophylla,Native
Alysicarpus,Alien
Alysicarpus ovalifolius,Alien
Alysicarpus rugosus,Alien
Alysicarpus vaginalis,Alien
Alyssum,Alien
Alyssum alyssoides,Alien
Amaranthaceae,mixed
Amaranthus,mixed
Amaranthus albus,Native
Amaranthus arenicola,Native
Amaranthus australis,Native
Amaranthus blitoides,Native
Amaranthus blitum,Mixed
Amaranthus blitum ssp. emarginatus,Mixed
Amaranthus blitum ssp. pseudogracilis,Alien
Amaranthus cannabinus,Native
Amaranthus caudatus,Alien
Amaranthus crassipes,Mixed
Amaranthus crassipes var. crassipes,Mixed
Amaranthus crispus,Alien
Amaranthus cruentus,Alien
Amaranthus deflexus,Alien
Amaranthus dubius,Alien
Amaranthus floridanus,Native
Amaranthus graecizans,Alien
Amaranthus graecizans ssp. sylvestris,Alien
Amaranthus greggii,Native
Amaranthus hybridus,Native
Amaranthus hybridus ssp. hybridus,Native
Amaranthus hypochondriacus,Alien
Amaranthus muricatus,Alien
Amaranthus palmeri,Native
Amaranthus polygonoides,Native
Amaranthus powellii,Native
Amaranthus pumilus,Native
Amaranthus retroflexus,Native
Amaranthus scleropoides,Native
Amaranthus spinosus,Mixed
Amaranthus tamaulipensis,Native
Amaranthus thunbergii,Alien
Amaranthus tricolor,Alien
Amaranthus tuberculatus,Native
Amaranthus viridis,Alien
Amaryllidaceae,mixed
Amaryllis,Alien
Amaryllis belladonna,Alien
Amauropelta,Native
Amauropelta noveboracensis,Native
Amauropelta resinifera,Native
Amauropelta sancta,Native
Amblovenatum,Alien
Amblovenatum opulentum,Alien
Amblyolepis,Native
Amblyolepis setigera,Native
Ambrosia,mixed
Ambrosia acanthicarpa,Native
Ambrosia artemisiifolia,Native
Ambrosia bidentata,Native
Ambrosia cheiranthifolia,Native
Ambrosia confertiflora,Native
Ambrosia hispida,Native
Ambrosia porcheri,Native
Ambrosia psilostachya,Native
Ambrosia tomentosa,Alien
Ambrosia trifida,Native
Ambrosia trifida var. texana,Native
Ambrosia trifida var. trifida,Native
Amelanchier,Native
Amelanchier [arborea + laevis],Native
Amelanchier [canadensis + obovalis + spicata],Native
Amelanchier arborea,Native
Amelanchier bartramiana,Native
Amelanchier canadensis,Native
Amelanchier humilis,Native
Amelanchier intermedia,Native
Amelanchier laevis,Native
Amelanchier nantucketensis,Native
Amelanchier obovalis,Native
Amelanchier sanguinea,Native
Amelanchier spicata,Native
Amianthium,Native
Amianthium muscitoxicum,Native
Ammannia,Native
Ammannia auriculata,Uncertain
Ammannia coccinea,Native
Ammannia grayi,Native
Ammannia latifolia,Native
Ammannia robusta,Native
Ammi,Alien
Ammi majus,Alien
Ammoselinum,Native
Ammoselinum butleri,Native
Ammoselinum popei,Native
Amoreuxia,Native
Amoreuxia wrightii,Native
Amorpha,Native
Amorpha [fruticosa + herbacea],Native
Amorpha canescens,Native
Amorpha confusa,Native
Amorpha crenulata,Native
Amorpha fruticosa,Native
Amorpha georgiana,Native
Amorpha glabra,Native
Amorpha herbacea,Native
Amorpha herbacea var. floridana,Native
Amorpha herbacea var. herbacea,Native
Amorpha laevigata,Native
Amorpha nitens,Native
Amorpha ouachitensis,Native
Amorpha paniculata,Native
Amorpha schwerinii,Native
Ampelaster,Native
Ampelaster carolinianus,Native
Ampelopsis,mixed
Ampelopsis aconitifolia,Alien
Ampelopsis cordata,Native
Ampelopsis glandulosa,Alien
Amphiachyris,Native
Amphiachyris amoena,Native
Amphiachyris dracunculoides,Native
Amphibromus,Alien
Amphibromus scabrivalvis,Alien
Amphibromus scabrivalvis var. scabrivalvis,Alien
Amphicarpaea,Native
Amphicarpaea bracteata,Native
Amphicarpaea bracteata var. bracteata,Native
Amphicarpaea bracteata var. comosa,Native
Amphicarpum,Native
Amphicarpum amphicarpon,Native
Amphicarpum muehlenbergianum,Native
Amphilophium,Alien
Amphilophium crucigerum,Alien
Amphitecna,Native
Amphitecna latifolia,Native
Amsinckia,Alien
Amsinckia intermedia,Alien
Amsinckia lycopsoides,Alien
Amsinckia menziesii,Alien
Amsonia,Native
Amsonia [salicifolia + tabernaemontana],Native
Amsonia ciliata,Native
Amsonia glaberrima,Native
Amsonia hubrichtii,Native
Amsonia illustris,Native
Amsonia ludoviciana,Native
Amsonia repens,Native
Amsonia rigida,Native
Amsonia salicifolia,Native
Amsonia salpignantha,Native
Amsonia species 2,Native
Amsonia tabernaemontana,Native
Amsonia texana,Native
Amyris,Native
Amyris balsamifera,Native
Amyris elemifera,Native
Amyris madrensis,Native
Amyris texana,Native
Anacardiaceae,mixed
Anacyclus,Alien
Anacyclus clavatus,Alien
Anagallis,Alien
Anagallis arvensis,Alien
Anagallis latifolia,Alien
Anagallis monelli,Alien
Ananas,Alien
Ananas comosus,Alien
Anaphalis,Native
Anaphalis margaritacea,Native
Anchistea,Native
Anchistea virginica,Native
Anchusa,Alien
Anchusa azurea,Alien
Anchusa officinalis,Alien
Ancistrocactus,Native
Ancistrocactus scheeri,Native
Andersonglossum,Native
Andersonglossum boreale,Native
Andersonglossum virginianum,Native
Andira,Uncertain
Andira inermis,Uncertain
Andrographis,Alien
Andrographis echioides,Alien
Andromeda,Native
Andromeda polifolia,Native
Andromeda polifolia var. latifolia,Native
Andropogon,Native
Andropogon [campbellii + capillipes + cretaceus + dealbatus + glomeratus + hirsutior + tenuispatheus + virginicus var. 1 + virginicus var. virginicus],Native
Andropogon [campbellii + virginicus var. 1 + virginicus var. virginicus],Native
Andropogon [campbellii + virginicus var. virginicus],Native
Andropogon [campbellii + virginicus],Native
Andropogon [capillipes + dealbatus],Native
Andropogon [glomeratus + hirsutior + tenuispatheus],Native
Andropogon [glomeratus + hirsutior],Native
Andropogon [glomeratus + tenuispatheus + virginicus var. virginicus],Native
Andropogon [glomeratus + tenuispatheus],Native
Andropogon [glomeratus + virginicus var. virginicus],Native
Andropogon [gyrans + perangustatus],Native
Andropogon {virginicus s.l.},Native
Andropogon arctatus,Native
Andropogon bicornis,Uncertain
Andropogon brachystachyus,Native
Andropogon cabanisii,Native
Andropogon campbellii,Native
Andropogon capillipes,Native
Andropogon cretaceus,Native
Andropogon cumulicola,Native
Andropogon dealbatus,Native
Andropogon floridanus,Native
Andropogon gerardi,Native
Andropogon glomeratus,Native
Andropogon gyrans,Native
Andropogon hallii,Native
Andropogon hirsutior,Native
Andropogon longiberbis,Native
Andropogon miamiensis,Native
Andropogon mohrii,Native
Andropogon perangustatus,Native
Andropogon species 2,Native
Andropogon subtenuis,Native
Andropogon tenuispatheus,Native
Andropogon ternarius,Native
Andropogon tracyi,Native
Andropogon virginicus,Native
Andropogon virginicus var. 1,Native
Andropogon virginicus var. virginicus,Native
Androsace,Native
Androsace occidentalis,Native
Androstephium,Native
Androstephium coeruleum,Native
Anemia,Native
Anemia adiantifolia,Native
Anemia mexicana,Native
Anemia wrightii,Native
Anemiaceae,Native
Anemonastrum,Native
Anemonastrum canadense,Native
Anemone,mixed
Anemone [minima + quinquefolia],Native
Anemone berlandieri,Native
Anemone blanda,Alien
Anemone caroliniana,Native
Anemone cylindrica,Native
Anemone lancifolia,Native
Anemone minima,Native
Anemone quinquefolia,Native
Anemone ranunculoides,Alien
Anemone virginiana,Native
Anemone virginiana var. alba,Native
Anemone virginiana var. virginiana,Native
Anemopsis,Alien
Anemopsis californica,Alien
Anethum,Alien
Anethum graveolens,Alien
Angadenia,Native
Angadenia berteroi,Native
Angelica,mixed
Angelica [atropurpurea + triquinata + venenosa],Native
Angelica atropurpurea,Native
Angelica dentata,Native
Angelica lucida,Alien
Angelica triquinata,Native
Angelica venenosa,Native
Angelonia,Alien
Angelonia gardneri,Alien
Anisacanthus,Native
Anisacanthus quadrifidus,Native
Anisacanthus quadrifidus var. wrightii,Native
Aniseia,Alien
Aniseia martinicensis,Alien
Aniseia martinicensis var. nitens,Alien
Anisocampium,Alien
Anisocampium niponicum,Alien
Annona,mixed
Annona glabra,Native
Annona squamosa,Alien
Annonaceae,mixed
Anoda,Alien
Anoda cristata,Alien
Anoda pentaschista,Uncertain
Anredera,mixed
Anredera cordifolia,Alien
Anredera vesicaria,Native
Antennaria,mixed
Antennaria [parlinii + plantaginifolia],Native
Antennaria [parlinii ssp. fallax + parlinii ssp. parlinii + plantaginifolia],Native
Antennaria [parlinii ssp. fallax + plantaginifolia],Native
Antennaria [parlinii ssp. parlinii + plantaginifolia],Native
Antennaria howellii,Native
Antennaria howellii ssp. canadensis,Native
Antennaria howellii ssp. neodioica,Native
Antennaria howellii ssp. petaloidea,Native
Antennaria neglecta,Native
Antennaria parlinii,Native
Antennaria parlinii ssp. fallax,Native
Antennaria parlinii ssp. parlinii,Native
Antennaria plantaginifolia,Native
Antennaria pulvinata,Alien
Antennaria solitaria,Native
Antennaria virginica,Native
Anthemis,Alien
