Name,Wetland
Eragrostis hypnoides, OBL
Eragrostis japonica, OBL
Erigeron vernus, OBL
Eriocaulon aquaticum, OBL
Eriocaulon cinereum, OBL
Eriocaulon compressum, OBL
Eriocaulon decangulare, OBL
Eriocaulon koernickianum, OBL
Eriocaulon lineare, OBL
Eriocaulon parkeri, OBL
Eriocaulon ravenelii, OBL
Eriocaulon texense, OBL
Eriophorum angustifolium, OBL
Eriophorum gracile, OBL
Eriophorum tenellum, OBL
Eriophorum vaginatum, OBL
Eriophorum virginicum, OBL
Eriophorum viridicarinatum, OBL
Eryngium aquaticum, OBL
Eryngium prostratum, OBL
Eupatorium resinosum, OBL
Eurybia radula, OBL
Fimbristylis castanea, OBL
Fimbristylis dichotoma, OBL
Fimbristylis littoralis, OBL
Fimbristylis perpusilla, OBL
Fimbristylis puberula, OBL
Fimbristylis vahlii, OBL
Forestiera acuminata, OBL
Fraxinus caroliniana, OBL
Fraxinus profunda, OBL
Fuirena breviseta, OBL
Fuirena pumila, OBL
Fuirena simplex, OBL
Fuirena squarrosa, OBL
Galium asprellum, OBL
Galium labradoricum, OBL
Galium palustre, OBL
Galium tinctorium, OBL
Gaylussacia bigeloviana, OBL
Gaylussacia orocola, OBL
Gentiana catesbaei, OBL
Gentiana linearis, OBL
Gentianopsis crinita, OBL
Geum rivale, OBL
Gleditsia aquatica, OBL
Glossostigma cleistanthum, OBL
Glyceria acutiflora, OBL
Glyceria arkansana, OBL
Glyceria borealis, OBL
Glyceria canadensis, OBL
Glyceria fluitans, OBL
Glyceria grandis, OBL
Glyceria melicaria, OBL
Glyceria nubigena, OBL
Glyceria obtusa, OBL
Glyceria septentrionalis, OBL
Glyceria striata, OBL
Gratiola amphiantha, OBL
Gratiola aurea, OBL
Gratiola floridana, OBL
Gratiola neglecta, OBL
Gratiola virginiana, OBL
Gratiola viscidula, OBL
Habenaria repens, OBL
Harperella fluviatilis, OBL
Harperella nodosa, OBL
Harperella vivipara, OBL
Helanthium tenellum, OBL
Helenium brevifolium, OBL
Helenium pinnatifidum, OBL
Helenium virginicum, OBL
Helianthus heterophyllus, OBL
Helianthus verticillatus, OBL
Heliotropium curassavicum, OBL
Helonias bullata, OBL
Helosciadium nodiflorum, OBL
Heteranthera dubia, OBL
Heteranthera limosa, OBL
Heteranthera reniformis, OBL
Hibiscus coccineus, OBL
Hibiscus laevis, OBL
Hibiscus moscheutos, OBL
Hottonia inflata, OBL
Hydrilla verticillata, OBL
Hydrocharis morsus-ranae, OBL
Hydrocotyle americana, OBL
Hydrocotyle prolifera, OBL
Hydrocotyle ranunculoides, OBL
Hydrocotyle umbellata, OBL
Hydrocotyle verticillata, OBL
Hydrolea ovata, OBL
Hydrolea quadrivalvis, OBL
Hydrolea uniflora, OBL
Hymenocallis coronaria, OBL
Hymenocallis crassifolia, OBL
Hymenocallis liriosme, OBL
Hypericum adpressum, OBL
Hypericum boreale, OBL
Hypericum ellipticum, OBL
Hypericum fraseri, OBL
Hypericum galioides, OBL
Hypericum gymnanthum, OBL
Hypericum nitidum, OBL
Hypericum setosum, OBL
Hypericum tubulosum, OBL
Hypericum virginicum, OBL
Hypericum walteri, OBL
Hyptis alata, OBL
Ilex amelanchier, OBL
Ilex laevigata, OBL
Iris brevicaulis, OBL
Iris fulva, OBL
Iris prismatica, OBL
Iris pseudacorus, OBL
Iris savannarum, OBL
Iris tridentata, OBL
Iris versicolor, OBL
Iris virginica, OBL
Isoetes X, OBL
Isoetes X, OBL
Isoetes X, OBL
Isoetes X, OBL
Isoetes X, OBL
Isoetes X, OBL
Isoetes X, OBL
Isoetes X, OBL
Isoetes acadiensis, OBL
Isoetes appalachiana, OBL
Isoetes echinospora, OBL
Isoetes engelmannii, OBL
Isoetes hyemalis, OBL
Isoetes lacustris, OBL
Isoetes melanopoda, OBL
Isoetes melanospora, OBL
Isoetes piedmontana, OBL
Isoetes riparia, OBL
Isoetes saccharata, OBL
Isoetes tegetiformans, OBL
Isoetes tennesseensis, OBL
Isoetes tuckermanii, OBL
Isoetes valida, OBL
Isoetes virginica, OBL
Isolepis pseudosetacea, OBL
Isolepis setacea, OBL
Itea virginica, OBL
Jamesianthus alabamensis, OBL
Juncus abortivus, OBL
Juncus acuminatus, OBL
Juncus alpinoarticulatus, OBL
Juncus articulatus, OBL
Juncus balticus, OBL
Juncus brachycephalus, OBL
Juncus brevicaudatus, OBL
Juncus caesariensis, OBL
Juncus canadensis, OBL
Juncus debilis, OBL
Juncus gymnocarpus, OBL
Juncus longii, OBL
Juncus megacephalus, OBL
Juncus militaris, OBL
Juncus nodatus, OBL
Juncus nodosus, OBL
Juncus pallidus, OBL
Juncus pelocarpus, OBL
Juncus polycephalos, OBL
Juncus pylaei, OBL
Juncus repens, OBL
Juncus roemerianus, OBL
Juncus subcaudatus, OBL
Juncus trigonocarpus, OBL
Justicia americana, OBL
Justicia crassifolia, OBL
Justicia lanceolata, OBL
Justicia ovata, OBL
Kalmia polifolia, OBL
Kosteletzkya pentacarpos, OBL
Lachnanthes caroliniana, OBL
Lachnocaulon anceps, OBL
Lachnocaulon minus, OBL
Landoltia punctata, OBL
Leavenworthia torulosa, OBL
Leersia hexandra, OBL
Leersia lenticularis, OBL
Leersia oryzoides, OBL
Lemna aequinoctialis, OBL
Lemna minor, OBL
Lemna minuta, OBL
Lemna obscura, OBL
Lemna perpusilla, OBL
Lemna trisulca, OBL
Lemna turionifera, OBL
Lemna valdiviana, OBL
Leucospora multifida, OBL
Lilaeopsis carolinensis, OBL
Lilaeopsis chinensis, OBL
Lilium pyrophilum, OBL
Limnobium spongia, OBL
Limnosciadium pumilum, OBL
Limonium carolinianum, OBL
Limosella australis, OBL
Lindera melissifolia, OBL
Lindera subcoriacea, OBL
Lindernia dubia, OBL
Lindernia monticola, OBL
Lipocarpha drummondii, OBL
Lipocarpha maculata, OBL
Litsea aestivalis, OBL
Littorella americana, OBL
Lobelia amoena, OBL
Lobelia boykinii, OBL
Lobelia canbyi, OBL
Lobelia dortmanna, OBL
Lobelia elongata, OBL
Lobelia flaccidifolia, OBL
Lobelia glandulosa, OBL
Lobelia kalmii, OBL
Lonicera oblongifolia, OBL
Ludwigia arcuata, OBL
Ludwigia bonariensis, OBL
Ludwigia brevipes, OBL
Ludwigia decurrens, OBL
Ludwigia glandulosa, OBL
Ludwigia grandiflora, OBL
Ludwigia hirtella, OBL
Ludwigia leptocarpa, OBL
Ludwigia linearis, OBL
Ludwigia microcarpa, OBL
Ludwigia octovalvis, OBL
Ludwigia palustris, OBL
Ludwigia peploides, OBL
Ludwigia peruviana, OBL
Ludwigia pilosa, OBL
Ludwigia polycarpa, OBL
Ludwigia repens, OBL
Ludwigia spathulata, OBL
Ludwigia sphaerocarpa, OBL
Ludwigia suffruticosa, OBL
Ludwigia virgata, OBL
Luziola fluitans, OBL
Lycopodiella inundata, OBL
Lycopodiella prostrata, OBL
Lycopus X, OBL
Lycopus americanus, OBL
Lycopus amplectens, OBL
Lycopus cokeri, OBL
Lycopus europaeus, OBL
Lycopus rubellus, OBL
Lycopus uniflorus, OBL
Lycopus virginicus, OBL
Lysimachia asperulifolia, OBL
Lysimachia hybrida, OBL
Lysimachia loomisii, OBL
Lysimachia punctata, OBL
Lysimachia radicans, OBL
Lysimachia terrestris, OBL
Lysimachia thyrsiflora, OBL
Lythrum californicum, OBL
Lythrum hyssopifolium, OBL
Lythrum lineare, OBL
Macbridea caroliniana, OBL
Macranthera flammea, OBL
Maianthemum trifolium, OBL
Marshallia graminifolia, OBL
Marsilea minuta, OBL
Marsilea mutica, OBL
Marsilea quadrifolia, OBL
Marsilea vestita, OBL
Mayaca fluviatilis, OBL
Mecardonia acuminata, OBL
Mentha X, OBL
Mentha pulegium, OBL
Menyanthes trifoliata, OBL
Micranthemum micranthemoides, OBL
Micranthemum umbrosum, OBL
Micranthes micranthidifolia, OBL
Micranthes pensylvanica, OBL
Micropolypodium nimbatum, OBL
Mimulus alatus, OBL
Mimulus floribundus, OBL
Mimulus glabratus, OBL
Mimulus guttatus, OBL
Mimulus moschatus, OBL
Mimulus ringens, OBL
Muhlenbergia uniflora, OBL
Murdannia keisak, OBL
Myosotis laxa, OBL
Myosotis scorpioides, OBL
Myrica gale, OBL
Myriophyllum aquaticum, OBL
Myriophyllum farwellii, OBL
Myriophyllum heterophyllum, OBL
Myriophyllum humile, OBL
Myriophyllum laxum, OBL
Myriophyllum pinnatum, OBL
Myriophyllum sibiricum, OBL
Myriophyllum spicatum, OBL
Myriophyllum tenellum, OBL
Myriophyllum verticillatum, OBL
Najas flexilis, OBL
Najas gracillima, OBL
Najas guadalupensis, OBL
Najas marina, OBL
Najas minor, OBL
Nasturtium microphyllum, OBL
Nasturtium officinale, OBL
Nelumbo lutea, OBL
Nelumbo nucifera, OBL
Nemopanthus mucronatus, OBL
Nuphar X, OBL
Nuphar advena, OBL
Nuphar microphylla, OBL
Nuphar sagittifolia, OBL
Nuphar variegata, OBL
Nymphaea X, OBL
Nymphaea X, OBL
Nymphaea mexicana, OBL
Nymphaea odorata, OBL
Nymphoides aquatica, OBL
Nymphoides cordata, OBL
Nymphoides peltata, OBL
Nyssa aquatica, OBL
Nyssa ogeche, OBL
Oenanthe aquatica, OBL
Oenanthe javanica, OBL
Orontium aquaticum, OBL
Oryza sativa, OBL
Osmunda spectabilis, OBL
Ottelia alismoides, OBL
Oxypolis rigidior, OBL
Packera glabella, OBL
Panicum paludosum, OBL
Parnassia asarifolia, OBL
Parnassia caroliniana, OBL
Parnassia glauca, OBL
Parnassia grandifolia, OBL
Paspalidium geminatum, OBL
Paspalum acuminatum, OBL
Paspalum denticulatum, OBL
Paspalum dissectum, OBL
Paspalum repens, OBL
Paspalum vaginatum, OBL
Peltandra sagittifolia, OBL
Peltandra virginica, OBL
Penthorum sedoides, OBL
Pentodon pentandrus, OBL
Persicaria amphibia, OBL
Persicaria arifolia, OBL
Persicaria glabra, OBL
Persicaria hirsuta, OBL
Persicaria hydropiper, OBL
Persicaria hydropiperoides, OBL
Persicaria minor, OBL
Persicaria punctata, OBL
Persicaria robustior, OBL
Persicaria sagittata, OBL
Persicaria setacea, OBL
Phanopyrum gymnocarpon, OBL
Phyla lanceolata, OBL
Pilularia americana, OBL
Pinguicula caerulea, OBL
Pinguicula planifolia, OBL
Pinguicula primuliflora, OBL
Pinguicula pumila, OBL
Pinguicula vulgaris, OBL
Pinus serotina, OBL
Pistia stratiotes, OBL
Plagiobothrys figuratus, OBL
Planera aquatica, OBL
Plantago cordata, OBL
Platanthera X, OBL
Platanthera blephariglottis, OBL
Platanthera huronensis, OBL
Platanthera integra, OBL
Platanthera integrilabia, OBL
Pleea tenuifolia, OBL
Pluchea foetida, OBL
Podostemum ceratophyllum, OBL
Pogonia ophioglossoides, OBL
Polygala cymosa, OBL
Polygonum argyrocoleon, OBL
Pontederia cordata, OBL
Ponthieva racemosa, OBL
Populus heterophylla, OBL
Potamogeton X, OBL
Potamogeton X, OBL
Potamogeton X, OBL
Potamogeton X, OBL
Potamogeton X, OBL
Potamogeton X, OBL
Potamogeton alpinus, OBL
Potamogeton amplifolius, OBL
Potamogeton berchtoldii, OBL
Potamogeton bicupulatus, OBL
Potamogeton confervoides, OBL
Potamogeton crispus, OBL
Potamogeton diversifolius, OBL
Potamogeton epihydrus, OBL
Potamogeton foliosus, OBL
Potamogeton friesii, OBL
Potamogeton gramineus, OBL
Potamogeton hillii, OBL
Potamogeton illinoensis, OBL
Potamogeton natans, OBL
Potamogeton nodosus, OBL
Potamogeton oakesianus, OBL
Potamogeton oblongus, OBL
Potamogeton obtusifolius, OBL
Potamogeton perfoliatus, OBL
Potamogeton praelongus, OBL
Potamogeton pulcher, OBL
Potamogeton pusillus, OBL
Potamogeton richardsonii, OBL
Potamogeton robbinsii, OBL
Potamogeton spirillus, OBL
Potamogeton strictifolius, OBL
Potamogeton tennesseensis, OBL
Potamogeton vaseyi, OBL
Potamogeton zosteriformis, OBL
Potentilla anserina, OBL
Potentilla supina, OBL
Proserpinaca intermedia, OBL
Proserpinaca palustris, OBL
Proserpinaca pectinata, OBL
Ptilimnium capillaceum, OBL
Puccinellia distans, OBL
Puccinellia fasciculata, OBL
Puccinellia maritima, OBL
Quercus lyrata, OBL
Quercus texana, OBL
Ranunculus ambigens, OBL
Ranunculus flabellaris, OBL
Ranunculus hederaceus, OBL
Ranunculus laxicaulis, OBL
Ranunculus longirostris, OBL
Ranunculus pensylvanicus, OBL
Ranunculus pusillus, OBL
Ranunculus sceleratus, OBL
Ranunculus trichophyllus, OBL
Rhamnus alnifolia, OBL
Rhexia aristosa, OBL
Rhexia mariana, OBL
Rhexia nashii, OBL
Rhexia petiolata, OBL
Rhexia virginica, OBL
Rhizophora mangle, OBL
Rhododendron groenlandicum, OBL
Rhynchospora alba, OBL
Rhynchospora caduca, OBL
Rhynchospora capillacea, OBL
Rhynchospora capitellata, OBL
Rhynchospora careyana, OBL
Rhynchospora cephalantha, OBL
Rhynchospora chalarocephala, OBL
Rhynchospora chapmanii, OBL
Rhynchospora ciliaris, OBL
Rhynchospora corniculata, OBL
Rhynchospora crinipes, OBL
Rhynchospora curtissii, OBL
Rhynchospora debilis, OBL
Rhynchospora decurrens, OBL
Rhynchospora divergens, OBL
Rhynchospora fascicularis, OBL
Rhynchospora fusca, OBL
Rhynchospora galeana, OBL
Rhynchospora glomerata, OBL
Rhynchospora gracilenta, OBL
Rhynchospora harperi, OBL
Rhynchospora inundata, OBL
Rhynchospora leptocarpa, OBL
Rhynchospora macra, OBL
Rhynchospora macrostachya, OBL
Rhynchospora miliacea, OBL
Rhynchospora mixta, OBL
Rhynchospora nitens, OBL
Rhynchospora odorata, OBL
Rhynchospora oligantha, OBL
Rhynchospora pallida, OBL
Rhynchospora pleiantha, OBL
Rhynchospora rariflora, OBL
Rhynchospora scirpoides, OBL
Rhynchospora wrightiana, OBL
Ribes triste, OBL
Rorippa aquatica, OBL
Rorippa palustris, OBL
Rorippa sessiliflora, OBL
Rosa palustris, OBL
Rotala indica, OBL
Rotala ramosior, OBL
Rotala rotundifolia, OBL
Rumex britannica, OBL
Rumex fueginus, OBL
Rumex occidentalis, OBL
Rumex verticillatus, OBL
Ruppia cirrhosa, OBL
Ruppia maritima, OBL
Sabatia calycina, OBL
Sabatia difformis, OBL
Sabatia dodecandra, OBL
Sabatia gentianoides, OBL
Sabatia kennedyana, OBL
Saccharum baldwinii, OBL
Saccharum brevibarbe, OBL
Sacciolepis striata, OBL
Sagittaria ambigua, OBL
Sagittaria australis, OBL
Sagittaria brevirostra, OBL
Sagittaria calycina, OBL
Sagittaria cuneata, OBL
Sagittaria engelmanniana, OBL
