Name,Wetland
Amaranthus tuberculatus, FACW
Amelanchier intermedia, FACW
Amorpha fruticosa, FACW
Amorpha georgiana, FACW
Amorpha paniculata, FACW
Ampelaster carolinianus, FACW
Ampelopsis arborea, FACW
Amphicarpum amphicarpon, FACW
Amphicarpum muehlenbergianum, FACW
Andropogon glaucopsis, FACW
Andropogon glomeratus, FACW
Andropogon hirsutior, FACW
Andropogon mohrii, FACW
Anemone canadensis, FACW
Anthoxanthum hirtum, FACW
Apios americana, FACW
Arisaema dracontium, FACW
Arisaema triphyllum, FACW
Arnoglossum plantagineum, FACW
Aronia arbutifolia, FACW
Aronia prunifolia, FACW
Arundinaria gigantea, FACW
Arundinaria tecta, FACW
Asclepias viridula, FACW
Asplenium abscissum, FACW
Atriplex patula, FACW
Atriplex prostrata, FACW
Axonopus compressus, FACW
Axonopus fissifolius, FACW
Axonopus furcatus, FACW
Baccharis halimifolia, FACW
Balduina atropurpurea, FACW
Balduina uniflora, FACW
Bartonia virginica, FACW
Berchemia scandens, FACW
Betula nigra, FACW
Bidens aristosa, FACW
Bidens bidentoides, FACW
Bidens discoidea, FACW
Bidens eatonii, FACW
Bidens frondosa, FACW
Bidens pilosa, FACW
Bidens tenuisecta, FACW
Bidens tripartita, FACW
Bigelowia nudata, FACW
Boehmeria cylindrica, FACW
Boltonia asteroides, FACW
Boltonia caroliniana, FACW
Boltonia montana, FACW
Botrychium lanceolatum, FACW
Boykinia aconitifolia, FACW
Briza minor, FACW
Bromus ciliatus, FACW
Bromus latiglumis, FACW
Brunnichia ovata, FACW
Calamagrostis canadensis, FACW
Calamagrostis pickeringii, FACW
Calamagrostis stricta, FACW
Calamovilfa arcuata, FACW
Calibrachoa parviflora, FACW
Callitriche pedunculosa, FACW
Callitriche terrestris, FACW
Calopogon barbatus, FACW
Calopogon tuberosus, FACW
Calycocarpum lyonii, FACW
Calydorea coelestina, FACW
Canna indica, FACW
Cardamine douglassii, FACW
Carex albolutescens, FACW
Carex alopecoidea, FACW
Carex annectens, FACW
Carex atlantica, FACW
Carex aurea, FACW
Carex basiantha, FACW
Carex bromoides, FACW
Carex brunnescens, FACW
Carex bulbostylis, FACW
Carex bushii, FACW
Carex caroliniana, FACW
Carex chapmanii, FACW
Carex cherokeensis, FACW
Carex conjuncta, FACW
Carex corrugata, FACW
Carex crawei, FACW
Carex crebriflora, FACW
Carex cristatella, FACW
Carex disperma, FACW
Carex fissa, FACW
Carex granularis, FACW
Carex gravida, FACW
Carex grayi, FACW
Carex hyalina, FACW
Carex intumescens, FACW
Carex leptonervia, FACW
Carex lupuliformis, FACW
Carex microdonta, FACW
Carex normalis, FACW
Carex opaca, FACW
Carex oxylepis, FACW
Carex pallescens, FACW
Carex pigra, FACW
Carex praegracilis, FACW
Carex prairea, FACW
Carex projecta, FACW
Carex reniformis, FACW
Carex retrorsa, FACW
Carex scoparia, FACW
Carex seorsa, FACW
Carex squarrosa, FACW
Carex styloflexa, FACW
Carex tetanica, FACW
Carex tetrastachya, FACW
Carex torta, FACW
Carex triangularis, FACW
Carex tribuloides, FACW
Carex typhina, FACW
Carphephorus odoratissimus, FACW
Carphephorus paniculatus, FACW
Carphephorus tomentosus, FACW
Carya myristiciformis, FACW
Celtis laevigata, FACW
Centella erecta, FACW
Chaerophyllum procumbens, FACW
Chaptalia tomentosa, FACW
Chasmanthium nitidum, FACW
Chelone lyonii, FACW
Chenopodium glaucum, FACW
Chenopodium macrospermum, FACW
Chenopodium rubrum, FACW
Cinna arundinacea, FACW
Cinna latifolia, FACW
Circaea alpina, FACW
Cirsium lecontei, FACW
Cirsium virginianum, FACW
Clematis crispa, FACW
Clematis ligusticifolia, FACW
Coix lacryma-jobi, FACW
Coleataenia rigidula, FACW
Coleataenia stipitata, FACW
Coleataenia tenera, FACW
Colocasia esculenta, FACW
Commelina diffusa, FACW
Commelina virginica, FACW
Conioselinum chinense, FACW
Conium maculatum, FACW
Conradina verticillata, FACW
Coptis trifolia, FACW
Corallorhiza trifida, FACW
Coreopsis falcata, FACW
Coreopsis gladiata, FACW
Coreopsis linifolia, FACW
Coreopsis rosea, FACW
Cornus alba, FACW
Cornus amomum, FACW
Cornus asperifolia, FACW
Cornus foemina, FACW
Cornus obliqua, FACW
Crataegus viridis, FACW
Crocosmia X, FACW
Croton elliottii, FACW
Crypsis alopecuroides, FACW
Crypsis schoenoides, FACW
Ctenium aromaticum, FACW
Cynosciadium digitatum, FACW
Cyperus bipartitus, FACW
Cyperus cuspidatus, FACW
Cyperus dentatus, FACW
Cyperus diandrus, FACW
Cyperus entrerianus, FACW
Cyperus eragrostis, FACW
Cyperus erythrorhizos, FACW
Cyperus esculentus, FACW
Cyperus granitophilus, FACW
Cyperus involucratus, FACW
Cyperus iria, FACW
Cyperus lecontei, FACW
Cyperus ochraceus, FACW
Cyperus odoratus, FACW
Cyperus pilosus, FACW
Cyperus polystachyos, FACW
Cyperus prolifer, FACW
Cyperus pseudovegetus, FACW
Cyperus squarrosus, FACW
Cyperus strigosus, FACW
Cyperus surinamensis, FACW
Cyperus virens, FACW
Cypripedium X, FACW
Cypripedium parviflorum, FACW
Cypripedium reginae, FACW
Cyrilla racemiflora, FACW
Dasiphora fruticosa, FACW
Dentella repens, FACW
Deparia petersenii, FACW
Deschampsia caespitosa, FACW
Diamorpha smallii, FACW
Dichanthelium leucothrix, FACW
Dichanthelium scoparium, FACW
Dichondra carolinensis, FACW
Dicliptera brachiata, FACW
Dinebra panicea, FACW
Dinebra panicoides, FACW
Diodia virginiana, FACW
Dionaea muscipula, FACW
Diplachne fusca, FACW
Distichlis spicata, FACW
Ditrysinia fruticosa, FACW
Doellingeria sericocarpoides, FACW
Doellingeria umbellata, FACW
Dryopteris X, FACW
Dryopteris X, FACW
Dryopteris X, FACW
Dryopteris clintoniana, FACW
Dryopteris cristata, FACW
Dryopteris ludoviciana, FACW
Echinochloa colona, FACW
Echinochloa crus-pavonis, FACW
Echinochloa muricata, FACW
Echinochloa walteri, FACW
Eleocharis atropurpurea, FACW
Eleocharis bifida, FACW
Eleocharis diandra, FACW
Eleocharis elliptica, FACW
Eleocharis engelmannii, FACW
Eleocharis geniculata, FACW
Eleocharis intermedia, FACW
Eleocharis lanceolata, FACW
Eleocharis melanocarpa, FACW
Eleocharis montevidensis, FACW
Eleocharis occulta, FACW
Eleocharis tenuis, FACW
Eleocharis tortilis, FACW
Elymus riparius, FACW
Elymus virginicus, FACW
Epilobium coloratum, FACW
Epilobium hirsutum, FACW
Equisetum X, FACW
Equisetum X, FACW
Equisetum hyemale, FACW
Equisetum laevigatum, FACW
Equisetum pratense, FACW
Equisetum sylvaticum, FACW
Equisetum variegatum, FACW
Eragrostis elliottii, FACW
Eragrostis frankii, FACW
Eragrostis refracta, FACW
Eragrostis reptans, FACW
Erigeron quercifolius, FACW
Eriochloa punctata, FACW
Eryngium hookeri, FACW
Eryngium integrifolium, FACW
Eubotrys racemosa, FACW
Eupatorium leptophyllum, FACW
Eupatorium leucolepis, FACW
Eupatorium perfoliatum, FACW
Eupatorium pilosum, FACW
Eupatorium semiserratum, FACW
Euphorbia serpens, FACW
Eurybia paludosa, FACW
Eustoma exaltatum, FACW
Euthamia leptocephala, FACW
Eutrochium dubium, FACW
Eutrochium fistulosum, FACW
Eutrochium maculatum, FACW
Filipendula rubra, FACW
Filipendula ulmaria, FACW
Fimbristylis annua, FACW
Fimbristylis autumnalis, FACW
Fimbristylis decipiens, FACW
Fimbristylis tomentosa, FACW
Fothergilla gardenii, FACW
Fraxinus nigra, FACW
Fraxinus pennsylvanica, FACW
Galium obtusum, FACW
Galium trifidum, FACW
Gaultheria hispidula, FACW
Gentiana andrewsii, FACW
Gentiana autumnalis, FACW
Gentiana clausa, FACW
Gentiana latidens, FACW
Gentiana saponaria, FACW
Gentianopsis virgata, FACW
Glinus lotoides, FACW
Glinus radiatus, FACW
Glyceria declinata, FACW
Glyceria laxa, FACW
Gonolobus suberosus, FACW
Gordonia lasianthus, FACW
Gratiola brevifolia, FACW
Gratiola ramosa, FACW
Habenaria quinqueseta, FACW
Helenium autumnale, FACW
Helenium microcephalum, FACW
Helenium vernale, FACW
Helianthus angustifolius, FACW
Helianthus floridanus, FACW
Helianthus giganteus, FACW
Helianthus grosseserratus, FACW
Helianthus nuttallii, FACW
Helianthus simulans, FACW
Heliotropium procumbens, FACW
Hemarthria altissima, FACW
Hexastylis sorriei, FACW
Hexastylis speciosa, FACW
Hibiscus aculeatus, FACW
Hopia obtusa, FACW
Huperzia lucidula, FACW
Hydrocotyle bonariensis, FACW
Hydrocotyle sibthorpioides, FACW
Hypericum X, FACW
Hypericum brachyphyllum, FACW
Hypericum canadense, FACW
Hypericum cistifolium, FACW
Hypericum densiflorum, FACW
Hypericum denticulatum, FACW
Hypericum fasciculatum, FACW
Hypericum majus, FACW
Hypericum mutilum, FACW
Hypericum nudiflorum, FACW
Hypoxis curtissii, FACW
Hypoxis juncea, FACW
Hypoxis rigida, FACW
Ilex cassine, FACW
Ilex collina, FACW
Ilex coriacea, FACW
Ilex cuthbertii, FACW
Ilex decidua, FACW
Ilex myrtifolia, FACW
Ilex verticillata, FACW
Illicium floridanum, FACW
Illicium parviflorum, FACW
Impatiens capensis, FACW
Impatiens glandulifera, FACW
Impatiens pallida, FACW
Impatiens walleriana, FACW
Iodanthus pinnatifidus, FACW
Ipomoea lacunosa, FACW
Ipomoea sagittata, FACW
Ipomoea wrightii, FACW
Iresine rhizomatosa, FACW
Isoetes butleri, FACW
Isolepis carinata, FACW
Iva frutescens, FACW
Iva microcephala, FACW
Juncus anthelatus, FACW
Juncus brachycarpus, FACW
Juncus bufonius, FACW
Juncus compressus, FACW
Juncus coriaceus, FACW
Juncus dichotomus, FACW
Juncus diffusissimus, FACW
Juncus dudleyi, FACW
Juncus effusus, FACW
Juncus elliottii, FACW
Juncus filiformis, FACW
Juncus gerardii, FACW
Juncus inflexus, FACW
Juncus marginatus, FACW
Juncus scirpoides, FACW
Juncus torreyi, FACW
Juncus validus, FACW
Juncus vaseyi, FACW
Kalmia cuneata, FACW
Kyllinga brevifolia, FACW
Kyllinga odorata, FACW
Kyllinga pumila, FACW
Larix laricina, FACW
Lathyrus palustris, FACW
Lathyrus venosus, FACW
Leersia virginica, FACW
Leitneria pilosa, FACW
Lepuropetalon spathulatum, FACW
Leucothoe axillaris, FACW
Leucothoe fontanesiana, FACW
Lilium catesbaei, FACW
Lilium michiganense, FACW
Lilium superbum, FACW
Limnosciadium pinnatum, FACW
Lindernia procumbens, FACW
Linum striatum, FACW
Liparis loeselii, FACW
Lipocarpha aristulata, FACW
Lipocarpha micrantha, FACW
Lobelia cardinalis, FACW
Lobelia nuttallii, FACW
Lobelia puberula, FACW
Lobelia siphilitica, FACW
Lonicera villosa, FACW
Ludwigia alternifolia, FACW
Ludwigia maritima, FACW
Lycopodiella X, FACW
Lycopodiella alopecuroides, FACW
Lycopodiella appressa, FACW
Lycopodiella margueritae, FACW
Lygodium palmatum, FACW
Lyonia ligustrina, FACW
Lyonia lucida, FACW
Lysimachia ciliata, FACW
Lysimachia minima, FACW
Lysimachia nummularia, FACW
Lysimachia quadriflora, FACW
Lythrum alatum, FACW
Lythrum salicaria, FACW
Magnolia virginiana, FACW
Maianthemum stellatum, FACW
Malaxis monophyllos, FACW
Marshallia mohrii, FACW
Matteuccia struthiopteris, FACW
Mentha X, FACW
Mentha X, FACW
Mentha aquatica, FACW
Mentha arvensis, FACW
Mentha spicata, FACW
Mentha suaveolens, FACW
Mertensia virginica, FACW
Micranthes caroliniana, FACW
Mikania scandens, FACW
Minuartia godfreyi, FACW
Minuartia uniflora, FACW
Mitella nuda, FACW
Mitreola petiolata, FACW
Mitreola sessilifolia, FACW
Muhlenbergia asperifolia, FACW
Muhlenbergia expansa, FACW
Muhlenbergia glomerata, FACW
Muhlenbergia mexicana, FACW
Muhlenbergia torreyana, FACW
Myosoton aquaticum, FACW
Myosurus minimus, FACW
Nabalus racemosus, FACW
Nama jamaicense, FACW
Napaea dioica, FACW
Narthecium americanum, FACW
Narthecium montanum, FACW
Navarretia intertexta, FACW
Nemophila aphylla, FACW
Neottia bifolia, FACW
Neottia cordata, FACW
Neottia smallii, FACW
Neptunia oleracea, FACW
Nyssa biflora, FACW
Oclemena X, FACW
Oclemena nemoralis, FACW
Oldenlandia boscii, FACW
Oldenlandia uniflora, FACW
Onoclea sensibilis, FACW
Ophioglossum pusillum, FACW
Ophioglossum vulgatum, FACW
Orobanche riparia, FACW
Osmunda X, FACW
Osmundastrum cinnamomeum, FACW
Oxypolis ternata, FACW
Packera aurea, FACW
Packera pseudaurea, FACW
Packera schweinitziana, FACW
Packera tampicana, FACW
Panicum bisulcatum, FACW
Panicum dichotomiflorum, FACW
Panicum hemitomon, FACW
Panicum repens, FACW
Panicum verrucosum, FACW
Parathelypteris simulata, FACW
Paspalum bifidum, FACW
Paspalum boscianum, FACW
Paspalum distichum, FACW
Paspalum floridanum, FACW
Paspalum praecox, FACW
Paspalum scrobiculatum, FACW
Pedicularis lanceolata, FACW
Penstemon alluviorum, FACW
Penstemon tenuis, FACW
Persea borbonia, FACW
Persea palustris, FACW
Persicaria bicornis, FACW
Persicaria careyi, FACW
Persicaria lapathifolia, FACW
Persicaria maculosa, FACW
Persicaria pensylvanica, FACW
Petasites frigidus, FACW
Phacelia covillei, FACW
Phacelia ranunculacea, FACW
Phalaris angusta, FACW
Phalaris arundinacea, FACW
Phalaris brachystachys, FACW
Phalaris caroliniana, FACW
Phlox maculata, FACW
Phragmites australis, FACW
Phyla nodiflora, FACW
Physocarpus opulifolius, FACW
Physostegia angustifolia, FACW
Physostegia intermedia, FACW
Physostegia purpurea, FACW
Picea mariana, FACW
Pilea fontana, FACW
Pilea pumila, FACW
Pinckneya bracteata, FACW
Pinguicula lutea, FACW
Pinus elliottii, FACW
Pinus glabra, FACW
Piperia dilatata, FACW
Plagiobothrys hispidulus, FACW
Plantago elongata, FACW
Plantago maritima, FACW
Platanthera aquilonis, FACW
Platanthera ciliaris, FACW
Platanthera clavellata, FACW
Platanthera conspicua, FACW
Platanthera cristata, FACW
Platanthera fissa, FACW
Platanthera flava, FACW
Platanthera grandiflora, FACW
Platanthera lacera, FACW
Platanthera leucophaea, FACW
Platanthera macrophylla, FACW
Platanthera nivea, FACW
Platanthera psycodes, FACW
Platanus occidentalis, FACW
Pluchea baccharis, FACW
Pluchea camphorata, FACW
Pluchea odorata, FACW
Poa alsodes, FACW
Poa paludigena, FACW
Poa palustris, FACW
Poa sylvestris, FACW
Poa trivialis, FACW
Polemonium caeruleum, FACW
Polemonium vanbruntiae, FACW
Polygala brevifolia, FACW
Polygala cruciata, FACW
Polygala hookeri, FACW
Polygala lutea, FACW
Polygala mariana, FACW
Polygala ramosa, FACW
Polypogon interruptus, FACW
Polypogon monspeliensis, FACW
Polypogon viridis, FACW
Populus balsamifera, FACW
Portulaca halimoides, FACW
Potentilla rivalis, FACW
Pseudolycopodiella caroliniana, FACW
Ptilimnium costatum, FACW
Ptilimnium nuttallii, FACW
Puccinellia nutkaensis, FACW
Puccinellia tenella, FACW
Pycnanthemum flexuosum, FACW
Pycnanthemum tenuifolium, FACW
Quercus X, FACW
Quercus bicolor, FACW
Quercus laurifolia, FACW
Quercus michauxii, FACW
Quercus pagoda, FACW
Quercus palustris, FACW
Quercus similis, FACW
Ranunculus abortivus, FACW
Ranunculus flammula, FACW
Ranunculus muricatus, FACW
Rhapidophyllum hystrix, FACW
Rhexia alifanus, FACW
Rhexia cubensis, FACW
Rhexia lutea, FACW
Rhododendron canadense, FACW
Rhododendron canescens, FACW
Rhododendron viscosum, FACW
Rhynchospora colorata, FACW
Rhynchospora elliottii, FACW
Rhynchospora globularis, FACW
Rhynchospora inexpansa, FACW
Rhynchospora microcarpa, FACW
Rhynchospora microcephala, FACW
Rhynchospora nivea, FACW
Rhynchospora perplexa, FACW
Rhynchospora plumosa, FACW
Rhynchospora pusilla, FACW
Rhynchospora recognita, FACW
Rhynchospora stenophylla, FACW
Rhynchospora torreyana, FACW
Ribes americanum, FACW
Ribes aureum, FACW
Ribes glandulosum, FACW
Ribes lacustre, FACW
Rorippa curvipes, FACW
Rorippa indica, FACW
Rorippa sinuata, FACW
Rorippa sylvestris, FACW
Rorippa teres, FACW
Rosa nitida, FACW
Rubus bushii, FACW
Rubus hispidus, FACW
Rubus inclinis, FACW
Rubus pubescens, FACW
Rubus setosus, FACW
Rubus vigilis, FACW
Rubus wheeleri, FACW
Rudbeckia auriculata, FACW
Rudbeckia laciniata, FACW
Ruellia noctiflora, FACW
Rumex altissimus, FACW
Rumex floridanus, FACW
Rumex persicarioides, FACW
Rumex pulcher, FACW
Rumex triangulivalvis, FACW
Sabal minor, FACW
Sabatia campanulata, FACW
Sabatia macrophylla, FACW
Sabatia stellaris, FACW
Saccharum giganteum, FACW
Sacciolepis indica, FACW
Sagina procumbens, FACW
Salix X, FACW
Salix X, FACW
Salix X, FACW
Salix alba, FACW
Salix amygdaloides, FACW
Salix atrocinerea, FACW
Salix babylonica, FACW
Salix bebbiana, FACW
Salix cinerea, FACW
Salix discolor, FACW
Salix elaeagnos, FACW
Salix eriocephala, FACW
Salix famelica, FACW
Salix interior, FACW
Salix lucida, FACW
Salix myricoides, FACW
Salix petiolaris, FACW
Salix purpurea, FACW
Salix triandra, FACW
Salix viminalis, FACW
Sanguisorba canadensis, FACW
Schenkia spicata, FACW
Schizachyrium littorale, FACW
Schoenolirion albiflorum, FACW
Schoenoplectus deltarum, FACW
Scirpus atrocinctus, FACW
Scirpus cyperinus, FACW
Scleria georgiana, FACW
Scleria minor, FACW
Scutellaria integrifolia, FACW
Scutellaria lateriflora, FACW
Scutellaria ocmulgee, FACW
Selaginella apoda, FACW
Selaginella eclipes, FACW
Selaginella kraussiana, FACW
Senecio suaveolens, FACW
Sesbania drummondii, FACW
Sesuvium maritimum, FACW
Sesuvium portulacastrum, FACW
Setaria magna, FACW
Sideroxylon lycioides, FACW
Sisyrinchium angustifolium, FACW
Sisyrinchium atlanticum, FACW
Sisyrinchium capillare, FACW
Sisyrinchium sagittiferum, FACW
Solidago fistulosa, FACW
Solidago gigantea, FACW
Solidago sempervirens, FACW
Solidago stricta, FACW
Spartina patens, FACW
Spergularia media, FACW
Spermacoce glabra, FACW
Spiraea alba, FACW
Spiraea latifolia, FACW
Spiraea salicifolia, FACW
Spiraea tomentosa, FACW
Spiranthes cernua, FACW
Spiranthes lucida, FACW
Sporobolus pinetorum, FACW
Sporobolus teretifolius, FACW
Stachys aspera, FACW
Stachys hyssopifolia, FACW
Stachys pilosa, FACW
Stachys tenuifolia, FACW
Steinchisma hians, FACW
Stellaria borealis, FACW
Stellaria fontinalis, FACW
Stellaria longifolia, FACW
Stenandrium dulce, FACW
Stenanthium gramineum, FACW
Stylisma aquatica, FACW
Suaeda calceoliformis, FACW
Succisella inflexa, FACW
Symphyotrichum lanceolatum, FACW
Symphyotrichum lateriflorum, FACW
Symphyotrichum novae-angliae, FACW
Symphyotrichum novi-belgii, FACW
Symphyotrichum praealtum, FACW
Symphyotrichum racemosum, FACW
Symphyotrichum tradescantii, FACW
Syngonanthus flavidulus, FACW
Tamarix chinensis, FACW
Teucrium canadense, FACW
Thalictrum clavatum, FACW
Thalictrum dasycarpum, FACW
Thalictrum macrostylum, FACW
Thalictrum pubescens, FACW
Thelypteris kunthii, FACW
Thelypteris ovata, FACW
Thelypteris palustris, FACW
Thinopyrum pycnanthum, FACW
Thuja occidentalis, FACW
Thyrsanthella difformis, FACW
Tiedemannia filiformis, FACW
Tofieldia glabra, FACW
Trautvetteria caroliniensis, FACW
Trepocarpus aethusae, FACW
Tridens ambiguus, FACW
Tridens strictus, FACW
Trillium cernuum, FACW
Trillium pusillum, FACW
Tripsacum dactyloides, FACW
Ulmus americana, FACW
Urochloa mutica, FACW
Vaccinium corymbosum, FACW
Vaccinium elliottii, FACW
Vaccinium myrtilloides, FACW
Valeriana pauciflora, FACW
Vandenboschia boschiana, FACW
Veratrum virginicum, FACW
Veratrum viride, FACW
Verbena X, FACW
Verbena hastata, FACW
Verbena scabra, FACW
Vernonia lettermannii, FACW
Vernonia noveboracensis, FACW
Viburnum obovatum, FACW
Viburnum opulus, FACW
Vigna luteola, FACW
Viola X, FACW
Viola affinis, FACW
Viola blanda, FACW
Viola cucullata, FACW
Viola langloisii, FACW
Viola macloskeyi, FACW
Viola nephrophylla, FACW
Viola renifolia, FACW
Viola septemloba, FACW
Viola striata, FACW
Vitis X, FACW
Vitis cinerea, FACW
Vitis palmata, FACW
Vitis riparia, FACW
Wisteria frutescens, FACW
Woodwardia areolata, FACW
Xanthorhiza simplicissima, FACW
Xyris caroliniana, FACW
Yeatesia viridiflora, FACW
Zenobia pulverulenta, FACW
Zephyranthes atamasca, FACW
